Credit Score,Finance Type,LTV,Average Gross Revenue Binding
580,Refi,1.158025121,1100.51
580,Refi,1.106368259,1161.985556
581,Refi,1.363834586,1192.583333
581,Refi,1.2107696,1180.051429
581,Refi,1.192214397,1313.305
582,Refi,1.321514644,1192.583333
582,Purchase,1.385863014,1269.5025
582,Refi,1.14643905,1313.305
582,Refi,1.253086127,1180.051429
582,Refi,0.77621012,827.35
582,Purchase,0.96606424,1091.413333
582,Purchase,1.268573521,1664.54
582,Refi,1.112866019,1313.305
582,Purchase,1.449830108,1649.785
582,Refi,1.444880243,1086.015
582,Refi,1.318809617,1192.583333
582,Purchase,1.270207385,1664.54
583,Refi,1.130313669,1313.305
583,Refi,1.079533333,1062.918182
584,Refi,1.117497483,1313.305
584,Purchase,1.168838679,1838.342857
584,Refi,1.020430859,1062.918182
584,Purchase,1.021555676,1417.034286
584,Purchase,0.931010661,1091.413333
584,Refi,1.170565934,1313.305
584,Purchase,1.44435196,1649.785
585,Purchase,1.0434648,1417.034286
585,Purchase,1.463278412,1649.785
585,Purchase,1.030995798,1417.034286
585,Refi,1.105829098,1062.918182
585,Refi,0.960399569,1233
585,Purchase,1.386077213,1269.5025
585,Purchase,1.03903445,1417.034286
585,Purchase,1.117962475,1838.342857
585,Refi,1.338388796,1192.583333
585,Purchase,1.169332515,1838.342857
585,Refi,1.135014634,1313.305
586,Refi,1.416352201,1086.015
586,Refi,1.396348837,1192.583333
586,Refi,1.159115942,1313.305
586,Purchase,1.127661789,1838.342857
586,Refi,1.429021522,1086.015
586,Refi,1.434718019,1086.015
586,Refi,1.419239452,1086.015
586,Purchase,1.380730935,1269.5025
586,Purchase,1.207030769,1838.342857
586,Purchase,0.741765294,1361.39
586,Refi,0.88222566,825.03
587,Refi,1.236902734,1180.051429
587,Refi,1.226203704,1180.051429
587,Refi,1.2763518,1180.051429
587,Purchase,0.686602985,416.25
587,Refi,1.017328662,1062.918182
587,Refi,1.28508,1180.051429
587,Refi,1.072286095,1062.918182
587,Purchase,1.107363522,1417.034286
587,Refi,1.157609974,1313.305
587,Purchase,0.921853799,1091.413333
588,Refi,1.075506271,1062.918182
588,Refi,1.11403631,1313.305
588,Refi,1.507277117,1086.015
588,Refi,1.161948495,1313.305
588,Purchase,1.155345343,1838.342857
589,Refi,1.093554554,1062.918182
589,Purchase,1.444184783,1649.785
589,Refi,1.085620873,1062.918182
589,Refi,1.295774336,1180.051429
589,Purchase,1.01339823,1417.034286
589,Refi,1.027672,1062.918182
589,Purchase,1.310077207,1269.5025
589,Refi,1.353186854,1192.583333
590,Refi,1.156636995,1313.305
590,Refi,1.16131866,1313.305
590,Refi,1.021510838,1062.918182
590,Purchase,1.243367758,1664.54
590,Purchase,1.173252685,1838.342857
590,Purchase,1.044094675,1417.034286
590,Refi,1.071916714,1062.918182
590,Refi,1.16779972,1313.305
591,Refi,1.263157528,1325.221739
591,Purchase,1.448555781,1369.13
591,Refi,1.403927508,1221.1915
591,Refi,1.406989247,1221.1915
591,Refi,1.3539075,1221.1915
591,Purchase,1.54962406,2134.6
592,Refi,1.238522813,1325.221739
592,Refi,1.289346256,1325.221739
592,Refi,1.403895208,1221.1915
592,Purchase,1.068459631,1001.716
592,Refi,1.394257692,1221.1915
592,Refi,1.309255008,1325.221739
593,Refi,1.168875251,1012.029167
593,Refi,1.134358373,1012.029167
593,Refi,1.247601902,1325.221739
593,Refi,1.202748936,1012.029167
593,Refi,1.41812682,1292.335
593,Purchase,1.244607186,2488.945
593,Refi,1.270411268,1325.221739
593,Refi,1.241625806,1325.221739
593,Refi,0.61665467,1302.77
593,Purchase,1.340125964,2181.08
593,Refi,1.21811129,1325.221739
593,Purchase,0.996085607,1654.738571
593,Purchase,1.330442446,2181.08
593,Refi,1.348540511,1221.1915
593,Refi,1.433189711,1292.335
593,Refi,1.241923015,1325.221739
594,Refi,1.066587368,1134.7
594,Refi,1.338067941,1221.1915
594,Refi,1.35,1221.1915
594,Purchase,1.027938562,1001.716
594,Refi,1.273728086,1325.221739
594,Refi,1.216640888,1325.221739
594,Refi,1.183598972,1012.029167
594,Refi,1.360092605,1221.1915
594,Refi,1.249975705,1325.221739
594,Refi,1.340763775,1221.1915
594,Refi,1.399823625,1221.1915
594,Purchase,0.903127072,1198.215
594,Refi,1.230777634,1325.221739
594,Purchase,1.422432215,1369.13
594,Refi,1.409090248,1221.1915
595,Refi,1.266887912,1325.221739
595,Refi,1.397533632,1221.1915
595,Purchase,0.523651866,785.2
595,Purchase,0.766719011,774.6
595,Purchase,0.998740645,1654.738571
595,Purchase,1.131030228,1944.425714
595,Purchase,1.143098104,1944.425714
595,Refi,1.278463768,1325.221739
595,Purchase,0.863861646,1198.215
595,Refi,1.28369484,1325.221739
595,Refi,1.320199167,1221.1915
595,Refi,1.021330481,1134.7
596,Refi,1.214774286,1325.221739
596,Refi,0.998679637,1531.025
596,Refi,0.862928313,961.2766667
596,Refi,1.107376299,1134.7
596,Refi,1.133150142,1012.029167
596,Purchase,0.515921654,785.2
596,Refi,1.550318182,1226.83
596,Refi,1.38975,1221.1915
596,Refi,1.107530348,1134.7
596,Refi,1.520433333,1226.83
596,Refi,0.888545854,961.2766667
596,Refi,0.891900494,961.2766667
597,Refi,1.357556291,1221.1915
597,Purchase,1.047542459,1001.716
597,Refi,1.152841226,1012.029167
597,Refi,1.434081605,1292.335
597,Refi,1.175658687,1012.029167
597,Refi,1.137629834,1012.029167
597,Purchase,1.179768511,1944.425714
597,Purchase,1.305415195,2488.945
597,Purchase,1.022975059,1001.716
597,Refi,1.378205471,1221.1915
597,Purchase,1.115303413,1944.425714
597,Purchase,0.919115651,1654.738571
597,Purchase,1.238094326,2488.945
597,Purchase,0.940015209,1654.738571
598,Purchase,1.214372608,2488.945
598,Purchase,1.167572021,1944.425714
598,Refi,0.961482091,1531.025
598,Purchase,1.025126844,1001.716
598,Refi,1.125611326,1012.029167
598,Refi,0.952794402,1531.025
598,Refi,0.799603113,1050.055
598,Purchase,0.970511141,1654.738571
599,Refi,1.339952063,1221.1915
599,Refi,0.914669222,1531.025
599,Refi,1.148167598,1012.029167
599,Refi,1.172790744,1012.029167
599,Refi,1.339666667,1221.1915
599,Refi,1.223738868,1325.221739
599,Refi,1.246705018,1325.221739
599,Refi,1.266518387,1325.221739
599,Purchase,0.9282,1654.738571
599,Refi,1.281987718,1325.221739
599,Purchase,0.954100097,1654.738571
599,Refi,1.291329483,1325.221739
599,Refi,0.742556902,1050.055
600,Purchase,1.198142268,1944.425714
600,Refi,1.258907563,1325.221739
600,Refi,1.427941176,1292.335
600,Purchase,1.514453258,2134.6
600,Purchase,1.123559152,1944.425714
600,Purchase,1.509217877,1369.13
600,Refi,1.184798851,1012.029167
600,Refi,1.331796117,1221.1915
601,Refi,1.283330556,1254.944545
601,Refi,1.414803113,1402.782
601,Refi,1.064403769,1100.109375
601,Refi,1.042400943,1100.109375
601,Purchase,1.099130194,2349.566
601,Refi,1.373522523,1332.052353
601,Refi,1.03290367,1100.109375
601,Purchase,1.266271483,2030.324
601,Purchase,1.105277796,2349.566
601,Refi,0.985641169,931.798
602,Refi,1.439560648,1402.782
602,Refi,0.847209464,888.61
602,Refi,1.25478449,1254.944545
602,Purchase,1.152545532,1836.214286
602,Refi,1.401446384,1332.052353
602,Refi,1.493744828,1402.782
602,Refi,1.206642763,1449.41
602,Refi,1.427711647,1402.782
602,Refi,1.373142043,1332.052353
602,Refi,1.110953675,1449.41
602,Refi,1.125222331,1449.41
602,Refi,1.353826598,1332.052353
602,Refi,1.293069637,1254.944545
603,Refi,1.214426774,1254.944545
603,Refi,1.355436212,1332.052353
603,Purchase,1.214060743,2030.324
603,Refi,1.134050806,1449.41
603,Refi,1.259281404,1254.944545
603,Refi,1.340920724,1332.052353
603,Purchase,1.175156731,1836.214286
603,Refi,1.171456354,1449.41
604,Refi,1.297977612,1254.944545
604,Refi,1.344311823,1332.052353
604,Purchase,1.261303797,2030.324
604,Purchase,1.297771429,2030.324
604,Purchase,1.436724694,2014.88
604,Refi,0.970064262,931.798
604,Refi,1.194503817,1449.41
605,Refi,1.060364878,1100.109375
605,Refi,1.315321442,1332.052353
605,Refi,1.174068787,1449.41
605,Refi,1.03941896,1100.109375
605,Refi,1.398240803,1332.052353
605,Purchase,1.118718663,1836.214286
605,Refi,1.121634711,1449.41
605,Refi,1.06714032,1100.109375
605,Refi,1.173243314,1449.41
605,Refi,1.02542134,1100.109375
605,Refi,0.994217096,931.798
605,Refi,1.059653743,1100.109375
605,Refi,1.036118361,1100.109375
605,Refi,0.935716935,931.798
605,Refi,1.304679365,1254.944545
606,Purchase,1.059658058,2349.566
606,Refi,1.053898627,1100.109375
606,Refi,1.518890874,1870
606,Refi,1.13027449,1449.41
606,Refi,1.4,1332.052353
606,Refi,0.709711744,548.3
606,Refi,1.104703424,1100.109375
606,Refi,1.317834197,1332.052353
606,Refi,1.329423602,1332.052353
606,Refi,1.438882412,1402.782
607,Refi,0.95420832,931.798
607,Refi,1.091216613,1100.109375
607,Refi,1.143929468,1449.41
607,Purchase,1.210608955,2030.324
607,Refi,1.34759744,1332.052353
607,Refi,1.191719535,1449.41
608,Purchase,0.931190647,1545.685
608,Purchase,1.200684755,1836.214286
608,Refi,1.069350788,1100.109375
608,Refi,1.037424974,1100.109375
608,Purchase,1.094896306,2349.566
608,Refi,1.294209445,1254.944545
608,Refi,1.193623093,1449.41
608,Purchase,1.202125676,1836.214286
608,Refi,1.331565031,1332.052353
608,Purchase,1.154589799,1836.214286
609,Refi,1.108973044,1100.109375
609,Refi,1.284168794,1254.944545
609,Refi,1.376370337,1332.052353
609,Refi,1.30899808,1254.944545
609,Refi,1.6,1870
609,Refi,1.155959531,1449.41
609,Refi,1.266502726,1254.944545
609,Refi,1.18938012,1449.41
609,Purchase,0.947478585,1545.685
609,Refi,1.333694915,1332.052353
609,Purchase,1.392913793,903.97
609,Purchase,0.956814639,1545.685
609,Refi,1.352283204,1332.052353
610,Refi,1.024481375,1100.109375
610,Purchase,1.036324378,2349.566
610,Refi,0.864252507,888.61
610,Purchase,0.691296923,1703.41
610,Refi,1.179838462,1449.41
610,Purchase,1.1794704,1836.214286
610,Refi,1.120860274,1449.41
610,Refi,1.146856104,1449.41
610,Purchase,0.951504925,1545.685
611,Purchase,1.242226929,1952.977143
611,Refi,1.329527485,1251.7625
611,Refi,1.204068712,1209.29
611,Refi,0.852455459,743.77
611,Purchase,1.134194872,2292.538
611,Refi,1.314933889,1251.7625
611,Refi,1.352455304,1251.7625
611,Refi,1.143896471,1209.29
611,Purchase,1.12664,2292.538
611,Refi,1.129822542,1209.29
611,Refi,1.507070707,1566.333
611,Refi,1.144821264,1209.29
611,Refi,1.422688177,1566.333
611,Purchase,1.216043357,1952.977143
611,Refi,1.4,1251.7625
611,Purchase,1.052212639,1312.543333
612,Refi,1.384287395,1251.7625
612,Refi,1.442584404,1566.333
612,Refi,1.156322179,1209.29
612,Refi,1.298248584,1348.66375
612,Refi,1.007681273,1527.1
612,Refi,1.490432,1566.333
612,Refi,1.056776417,1446.5025
612,Purchase,1.057090204,1312.543333
612,Refi,1.454260708,1566.333
612,Purchase,1.006082474,1153.232
612,Refi,1.366187143,1251.7625
612,Refi,1.48541963,1566.333
612,Purchase,1.000626907,1153.232
612,Purchase,1.065422733,1312.543333
612,Purchase,1.134449123,2292.538
612,Refi,1.435530141,1566.333
612,Refi,1.042840816,1446.5025
612,Refi,1.127021891,1209.29
612,Refi,1.08888121,1446.5025
613,Refi,1.283033289,1348.66375
613,Refi,0.913245878,1527.1
613,Refi,1.190319298,1209.29
613,Refi,0.474029032,666.37
614,Refi,0.963557794,1527.1
614,Refi,1.251765043,1348.66375
614,Purchase,1.084150909,1312.543333
614,Purchase,0.952329019,1153.232
614,Refi,1.373851803,1251.7625
614,Purchase,1.097637984,1312.543333
614,Purchase,0.906616495,1063.601667
614,Purchase,0.783606679,1056.366667
614,Purchase,1.041768271,1312.543333
