Credit Score,Finance Type,LTV,Binded GAP
572,Purchase,1.380,0.86
572,Purchase,1.388,0.86
572,Refi,1.121,0.82
572,Refi,1.176,0.82
572,Refi,1.312,0.61
572,Refi,1.396,0
572,Refi,1.265,0
572,Refi,1.305,0.79
573,Refi,0.771,1
573,Purchase,0.803,0.67
573,Purchase,1.216,0.77
573,Purchase,1.274,0
573,Purchase,1.305,0.77
573,Refi,1.436,0.8
573,Purchase,1.302,0
573,Refi,1.182,0.82
573,Refi,1.183,0.82
573,Refi,1.313,0.61
573,Refi,1.322,0.61
573,Refi,1.328,0
573,Refi,1.220,0.79
574,Purchase,0.848,1
574,Purchase,0.859,1
574,Purchase,1.320,0
574,Refi,1.083,0.46
574,Refi,0.839,0
574,Purchase,0.868,1
574,Refi,0.955,0.86
574,Purchase,1.396,0.86
574,Refi,1.097,0.46
574,Refi,1.100,0
574,Purchase,1.249,0.77
574,Refi,1.178,0
574,Refi,1.347,0
574,Refi,1.387,0
574,Refi,1.237,0.79
574,Refi,1.263,0.79
574,Refi,1.290,0
575,Purchase,1.439,1
575,Refi,0.985,0.86
575,Purchase,0.773,0.67
575,Purchase,0.806,0
575,Purchase,1.087,0.67
575,Purchase,1.356,0.86
575,Refi,1.006,0
575,Refi,1.014,0
575,Refi,1.066,0
575,Refi,1.097,0
575,Purchase,1.308,0.77
575,Refi,1.143,0.82
575,Refi,1.147,0.82
575,Refi,1.311,0.61
575,Refi,1.376,0.61
575,Refi,1.259,0.79
576,Refi,1.467,0.8
576,Purchase,1.131,0
576,Refi,1.190,0.82
576,Refi,0.985,0.86
576,Purchase,1.118,0
576,Purchase,1.178,0
576,Refi,1.090,0.46
576,Purchase,1.213,0.77
576,Purchase,1.238,0
576,Refi,1.141,0.82
576,Refi,1.175,0.82
576,Refi,1.348,0.61
576,Refi,1.371,0.61
577,Purchase,0.995,0
577,Purchase,1.636,1
577,Purchase,1.020,0.67
577,Refi,1.273,0
577,Purchase,1.055,0
577,Refi,1.072,0.46
577,Refi,1.174,0.82
577,Refi,1.183,0.82
577,Refi,1.212,0.79
578,Refi,1.557,0
578,Refi,1.093,0
578,Refi,1.175,0
578,Refi,1.205,0.82
578,Refi,1.323,0
578,Refi,0.816,0.5
578,Refi,1.438,0
578,Purchase,1.054,0.67
578,Purchase,1.094,0.67
578,Purchase,1.188,0.57
578,Refi,1.048,0
578,Refi,1.378,0.61
578,Refi,1.252,0
578,Refi,1.273,0.79
578,Refi,1.277,0.79
579,Purchase,1.337,0.86
579,Refi,1.085,0.46
579,Purchase,1.224,0.77
579,Purchase,1.277,0.77
579,Refi,1.240,0.79
580,Refi,0.730,1
580,Refi,0.840,0
580,Refi,1.442,0.8
580,Purchase,0.864,1
580,Purchase,1.055,0
580,Refi,0.927,0.86
580,Refi,0.934,0.86
580,Purchase,1.382,0.86
580,Purchase,1.255,0.77
580,Refi,1.158,0
580,Refi,1.195,0.82
580,Refi,1.313,0
580,Refi,1.363,0
580,Refi,1.085,0.46
580,Refi,1.106,0
580,Refi,1.233,0.79
580,Refi,1.243,0.79
580,Refi,1.248,0.79
580,Refi,1.266,0.79
581,Purchase,0.898,1
581,Refi,1.189,0.75
581,Purchase,1.061,0.75
581,Refi,1.428,0.73
581,Refi,1.465,0.73
581,Refi,1.077,0.74
581,Refi,1.364,0.7
581,Refi,1.377,0.7
581,Refi,1.211,0.83
581,Refi,1.164,0
581,Refi,1.192,0
581,Refi,1.206,0.75
582,Refi,0.776,1
582,Purchase,1.450,0
582,Refi,0.992,0
582,Purchase,1.269,0.63
582,Refi,1.445,0
582,Refi,1.309,0
582,Purchase,0.966,0
582,Purchase,1.386,0.5
582,Purchase,1.270,0.63
582,Purchase,1.111,0.7
582,Refi,1.046,0
582,Refi,1.319,0
582,Refi,1.322,0.7
582,Refi,1.376,0
582,Refi,1.253,0.83
582,Refi,1.259,0.83
582,Refi,1.267,0.83
582,Refi,1.113,0.75
582,Refi,1.146,0.75
582,Refi,1.209,0
583,Purchase,1.269,0.63
583,Refi,0.884,0
583,Purchase,1.314,0
583,Refi,1.441,0.73
583,Refi,1.499,0.73
583,Refi,1.080,0
583,Refi,1.105,0.74
583,Refi,1.327,0.7
583,Refi,1.353,0.7
583,Refi,1.265,0.83
583,Refi,1.116,0.75
583,Refi,1.130,0.75
583,Refi,1.147,0.75
583,Refi,1.149,0.75
583,Refi,1.194,0.75
584,Refi,0.739,1
584,Purchase,1.022,0
584,Purchase,1.444,0
584,Purchase,0.931,0
584,Purchase,1.169,0
584,Purchase,1.184,0.7
584,Refi,1.410,0.73
584,Refi,1.438,0.73
584,Refi,1.020,0.74
584,Refi,1.317,0.7
584,Refi,1.319,0.7
584,Refi,1.396,0.7
584,Refi,1.219,0.83
584,Refi,1.253,0.83
584,Refi,1.301,0.83
584,Refi,1.117,0.75
584,Refi,1.143,0.75
584,Refi,1.171,0.75
584,Refi,1.182,0
584,Refi,1.185,0.75
584,Refi,1.207,0.75
585,Refi,1.610,0
585,Purchase,1.386,0.5
585,Refi,0.908,0.67
585,Purchase,1.463,0
585,Refi,0.960,0.8
585,Purchase,1.031,0.75
585,Purchase,1.039,0.75
585,Purchase,1.043,0
585,Purchase,1.118,0
585,Purchase,1.129,0.7
585,Purchase,1.169,0
585,Refi,1.056,0.74
585,Refi,1.106,0
585,Refi,1.338,0.7
585,Refi,1.220,0.83
585,Refi,1.304,0.83
585,Refi,1.135,0.75
585,Refi,1.170,0
586,Purchase,0.742,1
586,Refi,0.973,0.8
586,Purchase,1.207,0.7
586,Refi,0.882,0.67
586,Purchase,1.381,0
586,Purchase,1.295,0
586,Purchase,1.128,0.7
586,Refi,1.416,0.73
586,Refi,1.419,0.73
586,Refi,1.429,0
586,Refi,1.431,0
586,Refi,1.435,0.73
586,Refi,1.027,0.74
586,Refi,1.089,0.74
586,Refi,1.396,0
586,Refi,1.159,0
586,Refi,1.176,0.75
587,Purchase,0.687,1
587,Purchase,0.938,0.4
587,Refi,1.017,0.74
587,Purchase,0.922,0
587,Purchase,1.107,0.75
587,Refi,1.072,0.74
587,Refi,1.379,0
587,Refi,1.226,0.83
587,Refi,1.237,0
587,Refi,1.240,0.83
587,Refi,1.276,0
587,Refi,1.285,0.83
587,Refi,1.308,0.83
587,Refi,1.158,0
588,Purchase,1.226,0.63
588,Purchase,1.155,0.7
588,Refi,1.426,0
588,Refi,1.50728,0.73
588,Refi,1.076,0
588,Refi,1.317,0.7
588,Refi,1.318,0.7
588,Refi,1.258,0.83
588,Refi,1.262,0.83
588,Refi,1.279,0.83
