Credit Score,Finance Type,LTV,Loans Booked,
572,Refi,1.31,18,
572,Refi,1.32,18,
572,Refi,1.40,18,
572,Refi,1.43,5,
572,Refi,1.55,2,
572,Purchase,1.12,7,
572,Purchase,1.30,13,
572,Purchase,1.38,7,
572,Purchase,1.39,7,
573,Refi,0.77,2,
573,Refi,1.18,17,
573,Refi,1.18,17,
573,Refi,1.22,19,
573,Refi,1.31,18,
573,Refi,1.32,18,
573,Refi,1.33,18,
573,Refi,1.44,5,
573,Purchase,0.80,3,
573,Purchase,1.22,13,
573,Purchase,1.27,13,
573,Purchase,1.30,13,
573,Purchase,1.31,13,
574,Refi,0.84,4,
574,Refi,0.96,7,
574,Refi,1.08,13,
574,Refi,1.10,13,
574,Refi,1.10,13,
574,Refi,1.18,17,
574,Refi,1.24,19,
574,Refi,1.26,19,
574,Refi,1.29,19,
574,Refi,1.35,18,
574,Refi,1.39,18,
574,Purchase,0.85,4,
574,Purchase,0.86,4,
574,Purchase,0.87,4,
574,Purchase,1.25,13,
574,Purchase,1.32,7,
574,Purchase,1.40,7,
575,Refi,0.98,7,
575,Refi,1.01,13,
575,Refi,1.01,13,
575,Refi,1.07,13,
575,Refi,1.10,13,
575,Refi,1.14,17,
575,Refi,1.15,17,
575,Refi,1.26,19,
575,Refi,1.31,18,
575,Refi,1.38,18,
575,Purchase,0.77,3,
575,Purchase,0.81,3,
575,Purchase,1.09,6,
575,Purchase,1.31,13,
575,Purchase,1.36,7,
575,Purchase,1.44,1,
576,Refi,0.98,7,
576,Refi,1.09,13,
576,Refi,1.14,17,
576,Refi,1.18,17,
576,Refi,1.19,17,
576,Refi,1.35,18,
576,Refi,1.37,18,
576,Refi,1.47,5,
576,Purchase,1.12,7,
576,Purchase,1.13,7,
576,Purchase,1.18,7,
576,Purchase,1.21,13,
576,Purchase,1.24,13,
577,Refi,1.07,13,
577,Refi,1.17,17,
577,Refi,1.18,17,
577,Refi,1.21,19,
577,Refi,1.27,19,
577,Purchase,0.99,1,
577,Purchase,1.02,6,
577,Purchase,1.06,6,
577,Purchase,1.64,1,
578,Refi,0.82,4,
578,Refi,1.05,13,
578,Refi,1.09,13,
578,Refi,1.18,17,
578,Refi,1.20,17,
578,Refi,1.25,19,
578,Refi,1.27,19,
578,Refi,1.28,19,
578,Refi,1.32,18,
578,Refi,1.38,18,
578,Refi,1.44,5,
578,Refi,1.56,2,
578,Purchase,1.05,6,
578,Purchase,1.09,6,
578,Purchase,1.19,7,
579,Refi,1.08,13,
579,Refi,1.24,19,
579,Purchase,1.22,13,
579,Purchase,1.28,13,
579,Purchase,1.34,7,
580,Refi,0.73,2,
580,Refi,0.84,4,
580,Refi,0.93,7,
580,Refi,0.93,7,
580,Refi,1.08,19,
580,Refi,1.11,19,
580,Refi,1.16,17,
580,Refi,1.19,17,
580,Refi,1.23,19,
580,Refi,1.24,19,
580,Refi,1.25,19,
580,Refi,1.27,19,
580,Refi,1.31,18,
580,Refi,1.36,18,
580,Refi,1.44,5,
580,Purchase,0.86,4,
580,Purchase,1.06,6,
580,Purchase,1.25,13,
580,Purchase,1.38,7,
581,Refi,1.08,19,
581,Refi,1.16,32,
581,Refi,1.19,32,
581,Refi,1.19,32,
581,Refi,1.21,32,
581,Refi,1.21,24,
581,Refi,1.36,20,
581,Refi,1.38,20,
581,Refi,1.43,15,
581,Refi,1.46,15,
581,Purchase,0.90,1,
581,Purchase,1.06,8,
582,Refi,0.78,2,
582,Refi,0.99,5,
582,Refi,1.05,19,
582,Refi,1.11,32,
582,Refi,1.15,32,
582,Refi,1.21,32,
582,Refi,1.25,24,
582,Refi,1.26,24,
582,Refi,1.27,24,
582,Refi,1.31,24,
582,Refi,1.32,20,
582,Refi,1.32,20,
582,Refi,1.38,20,
582,Refi,1.44,15,
582,Purchase,0.97,5,
582,Purchase,1.11,10,
582,Purchase,1.27,8,
582,Purchase,1.27,8,
582,Purchase,1.39,6,
582,Purchase,1.45,4,
583,Refi,0.88,3,
583,Refi,1.08,19,
583,Refi,1.10,19,
583,Refi,1.12,32,
583,Refi,1.13,32,
583,Refi,1.15,32,
583,Refi,1.15,32,
583,Refi,1.19,32,
583,Refi,1.27,24,
583,Refi,1.33,20,
583,Refi,1.35,20,
583,Refi,1.44,15,
583,Refi,1.50,15,
583,Purchase,1.27,8,
583,Purchase,1.31,6,
584,Refi,0.74,2,
584,Refi,1.02,19,
584,Refi,1.12,32,
584,Refi,1.14,32,
584,Refi,1.17,32,
584,Refi,1.18,32,
584,Refi,1.19,32,
584,Refi,1.21,32,
584,Refi,1.22,24,
584,Refi,1.25,24,
584,Refi,1.30,24,
584,Refi,1.32,20,
584,Refi,1.32,20,
584,Refi,1.40,20,
584,Refi,1.41,15,
584,Refi,1.44,15,
584,Purchase,0.93,5,
584,Purchase,1.02,8,
584,Purchase,1.17,10,
