Credit Score,Finance Type,LTV,Total Gross Revenue Binding
582,Refi,1.321514644,7155.5
582,Purchase,1.385863014,5078.01
582,Refi,1.14643905,18386.27
582,Refi,1.253086127,8260.36
582,Refi,0.77621012,827.35
582,Purchase,0.96606424,3274.24
582,Purchase,1.268573521,4993.62
582,Refi,1.112866019,18386.27
582,Purchase,1.449830108,6599.14
582,Refi,1.444880243,6516.09
582,Refi,1.318809617,7155.5
582,Purchase,1.270207385,4993.62
583,Refi,1.130313669,18386.27
583,Refi,1.079533333,11692.1
584,Refi,1.117497483,18386.27
584,Purchase,1.168838679,12868.4
584,Refi,1.020430859,11692.1
584,Purchase,1.021555676,9919.24
584,Purchase,0.931010661,3274.24
584,Refi,1.170565934,18386.27
584,Purchase,1.44435196,6599.14
585,Purchase,1.0434648,9919.24
585,Purchase,1.463278412,6599.14
585,Purchase,1.030995798,9919.24
585,Refi,1.105829098,11692.1
585,Refi,0.960399569,1233
585,Purchase,1.386077213,5078.01
585,Purchase,1.03903445,9919.24
585,Purchase,1.117962475,12868.4
585,Refi,1.338388796,7155.5
585,Purchase,1.169332515,12868.4
585,Refi,1.135014634,18386.27
586,Refi,1.416352201,6516.09
586,Refi,1.396348837,7155.5
586,Refi,1.159115942,18386.27
586,Purchase,1.127661789,12868.4
586,Refi,1.429021522,6516.09
586,Refi,1.434718019,6516.09
586,Refi,1.419239452,6516.09
586,Purchase,1.380730935,5078.01
586,Purchase,1.207030769,12868.4
586,Purchase,0.741765294,1361.39
586,Refi,0.88222566,825.03
587,Refi,1.236902734,8260.36
587,Refi,1.226203704,8260.36
587,Refi,1.2763518,8260.36
587,Purchase,0.686602985,416.25
587,Refi,1.017328662,11692.1
587,Refi,1.28508,8260.36
587,Refi,1.072286095,11692.1
587,Purchase,1.107363522,9919.24
587,Refi,1.157609974,18386.27
587,Purchase,0.921853799,3274.24
588,Refi,1.075506271,11692.1
588,Refi,1.11403631,18386.27
588,Refi,1.507277117,6516.09
588,Refi,1.161948495,18386.27
588,Purchase,1.155345343,12868.4
589,Refi,1.093554554,11692.1
589,Purchase,1.444184783,6599.14
589,Refi,1.085620873,11692.1
589,Refi,1.295774336,8260.36
589,Purchase,1.01339823,9919.24
589,Refi,1.027672,11692.1
589,Purchase,1.310077207,5078.01
589,Refi,1.353186854,7155.5
590,Refi,1.156636995,18386.27
590,Refi,1.16131866,18386.27
590,Refi,1.021510838,11692.1
590,Purchase,1.243367758,4993.62
590,Purchase,1.173252685,12868.4
590,Purchase,1.044094675,9919.24
590,Refi,1.071916714,11692.1
590,Refi,1.16779972,18386.27
591,Refi,1.263157528,30480.1
591,Purchase,1.448555781,4107.39
591,Refi,1.403927508,24423.83
591,Refi,1.406989247,24423.83
591,Refi,1.3539075,24423.83
591,Purchase,1.54962406,4269.2
592,Refi,1.238522813,30480.1
592,Refi,1.289346256,30480.1
592,Refi,1.403895208,24423.83
592,Purchase,1.068459631,5008.58
592,Refi,1.394257692,24423.83
592,Refi,1.309255008,30480.1
593,Refi,1.168875251,12144.35
593,Refi,1.134358373,12144.35
593,Refi,1.247601902,30480.1
593,Refi,1.202748936,12144.35
593,Refi,1.41812682,5169.34
593,Purchase,1.244607186,9955.78
593,Refi,1.270411268,30480.1
593,Refi,1.241625806,30480.1
593,Refi,0.61665467,1302.77
593,Purchase,1.340125964,4362.16
593,Refi,1.21811129,30480.1
593,Purchase,0.996085607,11583.17
593,Purchase,1.330442446,4362.16
593,Refi,1.348540511,24423.83
593,Refi,1.433189711,5169.34
593,Refi,1.241923015,30480.1
594,Refi,1.066587368,4538.8
594,Refi,1.338067941,24423.83
594,Refi,1.35,24423.83
594,Purchase,1.027938562,5008.58
594,Refi,1.273728086,30480.1
594,Refi,1.216640888,30480.1
594,Refi,1.183598972,12144.35
594,Refi,1.360092605,24423.83
594,Refi,1.249975705,30480.1
594,Refi,1.340763775,24423.83
594,Refi,1.399823625,24423.83
594,Purchase,0.903127072,2396.43
594,Refi,1.230777634,30480.1
594,Purchase,1.422432215,4107.39
594,Refi,1.409090248,24423.83
595,Refi,1.266887912,30480.1
595,Refi,1.397533632,24423.83
595,Purchase,0.523651866,1570.4
595,Purchase,0.766719011,774.6
595,Purchase,0.998740645,11583.17
595,Purchase,1.131030228,13610.98
595,Purchase,1.143098104,13610.98
595,Refi,1.278463768,30480.1
595,Purchase,0.863861646,2396.43
595,Refi,1.28369484,30480.1
595,Refi,1.320199167,24423.83
595,Refi,1.021330481,4538.8
596,Refi,1.214774286,30480.1
596,Refi,0.998679637,6124.1
596,Refi,0.862928313,2883.83
596,Refi,1.107376299,4538.8
596,Refi,1.133150142,12144.35
596,Purchase,0.515921654,1570.4
596,Refi,1.550318182,2453.66
596,Refi,1.38975,24423.83
596,Refi,1.107530348,4538.8
596,Refi,1.520433333,2453.66
596,Refi,0.888545854,2883.83
596,Refi,0.891900494,2883.83
597,Refi,1.357556291,24423.83
597,Purchase,1.047542459,5008.58
597,Refi,1.152841226,12144.35
597,Refi,1.434081605,5169.34
597,Refi,1.175658687,12144.35
597,Refi,1.137629834,12144.35
597,Purchase,1.179768511,13610.98
597,Purchase,1.305415195,9955.78
597,Purchase,1.022975059,5008.58
597,Refi,1.378205471,24423.83
597,Purchase,1.115303413,13610.98
597,Purchase,0.919115651,11583.17
597,Purchase,1.238094326,9955.78
597,Purchase,0.940015209,11583.17
598,Purchase,1.214372608,9955.78
598,Purchase,1.167572021,13610.98
598,Refi,0.961482091,6124.1
598,Purchase,1.025126844,5008.58
598,Refi,1.125611326,12144.35
598,Refi,0.952794402,6124.1
598,Refi,0.799603113,2100.11
598,Purchase,0.970511141,11583.17
599,Refi,1.339952063,24423.83
599,Refi,0.914669222,6124.1
599,Refi,1.148167598,12144.35
