Partner,Credit Score,Finance Type,LTV,Average Gross Revenue Binding
Element,617,Purchase,1.081673714,1312.543333
Credit Karma,617,Refi,1.42399841,1566.333
Credit Karma,617,Refi,1.27046087,1348.66375
Credit Karma,617,Refi,1.421621622,1566.333
Flexco,617,Purchase,0.762903349,1056.366667
Credit Karma,617,Refi,1.234128119,1348.66375
NerdWallet,617,Refi,1.290378485,1348.66375
Credit Karma,617,Refi,0.67816177,1730.06
Credit Karma,617,Refi,1.173211546,1209.29
Credit Karma,618,Refi,1.263873147,1348.66375
HCA - Hyundai Kia,618,Purchase,1.042926848,1312.543333
HCA - Hyundai Kia,618,Purchase,1.397262745,280.59
LeasePlan,618,Purchase,0.651465798,524
Credit Karma,618,Refi,1.2417,1348.66375
IFS,618,Refi,1.237151549,1348.66375
Chrysler Capital Lease,618,Purchase,1.291360208,1952.977143
HCA - Hyundai Kia,618,Purchase,1.275176563,1952.977143
AVIS,618,Purchase,0.880253409,1063.601667
Credit Karma,618,Refi,0.962738355,1527.1
AVIS,619,Purchase,0.497512438,465.64
Credit Karma,619,Refi,1.346913808,1251.7625
Wheels,619,Purchase,1.039927461,1312.543333
Wheels,619,Purchase,0.935576015,1153.232
Natural Intelligence - Top 10 ,619,Refi,1.30384911,1348.66375
Credit Karma,619,Refi,1.593130298,1766.79
Wheels,619,Purchase,0.361856655,516.39
Credit Karma,619,Refi,1.046915888,1446.5025
Credit Karma,619,Refi,0.970098571,1527.1
Wheels,619,Purchase,1.076398174,1312.543333
Credit Karma,620,Refi,1.312598883,1251.7625
Credit Karma,620,Refi,1.261953488,1348.66375
Element,620,Purchase,0.860003724,1063.601667
Wheels,620,Purchase,0.973258383,1153.232
Credit Karma,620,Refi,1.268480899,1348.66375
Credit Karma,620,Refi,1.175193979,1209.29
HCA - Hyundai Kia,620,Purchase,1.247477895,1952.977143
Credit Karma,620,Refi,1.53429927,1766.79
Credit Karma,620,Refi,0.592929782,605.1
Chrysler Capital Lease,620,Purchase,1.229034437,1952.977143
Credit Karma,621,Refi,1.406107216,1268.8276
IFS - Customer Service,621,Refi,0.891586175,1172.685
Credit Karma,621,Refi,1.452607947,1533.145455
AVIS,621,Purchase,1.274700337,2043.161667
Credit Karma,621,Refi,1.145504848,1265.74
Credit Karma,621,Refi,1.486246729,1533.145455
Credit Karma,621,Refi,1.196281301,1265.74
NerdWallet,621,Refi,1.045006959,1095.785556
Credit Karma,621,Refi,1.177850299,1265.74
Credit Karma,621,Refi,1.29576826,1299.340952
Credit Karma,621,Refi,1.290666033,1299.340952
Natural Intelligence - Top 10 ,621,Refi,1.312384615,1268.8276
Wheels,621,Purchase,1.409349485,2412.316
Credit Karma,622,Refi,1.201248705,1265.74
Credit Karma,622,Refi,1.407811255,1268.8276
Credit Karma,622,Refi,1.100142529,1095.785556
Credit Karma,622,Refi,1.294364592,1299.340952
Credit Karma,622,Refi,1.485475,1533.145455
IFS,622,Refi,1.47,1533.145455
AVIS,622,Purchase,1.049896592,1477.871429
NerdWallet,622,Refi,1.278338922,1299.340952
NerdWallet,622,Refi,1.238691032,1299.340952
Credit Karma,622,Refi,1.021691241,1095.785556
Credit Karma,622,Refi,1.276225979,1299.340952
Wheels,622,Purchase,1.187904147,1794.74125
NerdWallet,622,Refi,1.310883582,1268.8276
Credit Karma,622,Refi,1.346641333,1268.8276
IFS,622,Refi,1.402937587,1268.8276
Credit Karma,622,Refi,1.44056692,1533.145455
Credit Karma,622,Refi,1.045876446,1095.785556
Lending Tree Lease,622,Purchase,1.303953575,2043.161667
Credit Karma,623,Refi,1.059948603,1095.785556
MyAutoLoan Lease,623,Purchase,1.093694635,1477.871429
Credit Karma,623,Refi,1.409451501,1268.8276
Credit Karma,623,Refi,1.304665811,1299.340952
Credit Karma,623,Refi,1.398960483,1268.8276
Credit Karma,623,Refi,1.357201533,1268.8276
MyAutoLoan Lease,623,Purchase,1.244780995,2043.161667
Chrysler Capital Lease,623,Purchase,1.156863132,1794.74125
Credit Karma,623,Refi,0.829991545,1172.685
AVIS,623,Purchase,0.821126984,1601.966667
IFS Marketing Organic Lease,624,Purchase,1.036158917,1477.871429
Credit Karma,624,Refi,1.226674302,1299.340952
IFS,624,Refi,1.406272222,1268.8276
Credit Karma,624,Refi,1.175745744,1265.74
Natural Intelligence - Top 10 ,624,Refi,0.464714715,492.45
Credit Karma,624,Refi,1.291158685,1299.340952
Wheels,624,Purchase,0.915923183,1120.573333
Element,624,Purchase,1.366119167,2412.316
MyAutoLoan Lease,624,Purchase,1.185018667,1794.74125
LeasePlan,624,Purchase,1.366970044,2412.316
Credit Karma,624,Refi,1.427619568,1533.145455
Natural Intelligence - Top 10 ,624,Refi,1.385954084,1268.8276
IFS,624,Refi,1.332226752,1268.8276
Credit Karma,624,Refi,1.062706077,1095.785556
Credit Karma,624,Refi,1.345120715,1268.8276
Credit Karma,625,Refi,1.167044136,1265.74
HCA - Hyundai Kia,625,Purchase,0.897780707,1601.966667
Credit Karma,625,Refi,1.193458294,1265.74
Credit Karma,625,Refi,1.231382039,1299.340952
Element,625,Purchase,1.25197549,2043.161667
Credit Karma,625,Refi,1.261779028,1299.340952
Credit Karma,625,Refi,1.049413149,1095.785556
Credit Karma,625,Refi,1.282020431,1299.340952
Credit Karma,625,Refi,0.993483158,815.8066667
Chrysler Capital Lease,625,Purchase,0.880508451,1601.966667
AVIS,625,Purchase,1.366297143,2412.316
HCA - Hyundai Kia,625,Purchase,1.144702247,1794.74125
Credit Karma,625,Refi,1.439678261,1533.145455
IFS,625,Refi,1.160264471,1265.74
HCA - Hyundai Kia,625,Purchase,1.129928163,1794.74125
Credit Karma,626,Refi,1.169635386,1265.74
Credit Karma,626,Refi,1.111831953,1265.74
Credit Karma,626,Refi,1.132445283,1265.74
Credit Karma,626,Refi,1.350431779,1268.8276
Credit Karma,626,Refi,1.325794409,1268.8276
MyAutoLoan Lease,626,Purchase,1.567729754,2196.19
Chrysler Capital Lease,626,Purchase,1.154142092,1794.74125
AVIS,626,Purchase,1.259792442,2043.161667
Credit Karma,626,Refi,0.985731526,815.8066667
Credit Karma,626,Refi,1.4,1268.8276
Credit Karma,626,Refi,1.503956863,1533.145455
Credit Karma,626,Refi,1.27236396,1299.340952
IFS Marketing Organic,627,Refi,1.379319171,1268.8276
Chrysler Capital Lease,627,Purchase,1.236602899,2043.161667
Chrysler Capital Lease,627,Purchase,1.023854005,1477.871429
AVIS,627,Purchase,0.733746185,890.02
Credit Karma,627,Refi,1.190263872,1265.74
Donlen,627,Purchase,1.176347475,1794.74125
TrueCar - AVIS,627,Purchase,1.019154321,1477.871429
NerdWallet,627,Refi,1.116633731,1265.74
Credit Karma,627,Refi,1.276553563,1299.340952
Credit Karma,627,Refi,1.264748115,1299.340952
Credit Karma,627,Refi,1.423721212,1533.145455
Credit Karma,627,Refi,0.717866932,1806.64
Credit Karma,628,Refi,1.358791886,1268.8276
Chrysler Capital Lease,628,Purchase,0.989696835,1120.573333
Credit Karma,628,Refi,1.290549136,1299.340952
Credit Karma,628,Refi,0.991615851,815.8066667
Wheels,628,Purchase,0.951477209,1120.573333
Credit Karma,628,Refi,1.217640845,1299.340952
Credit Karma,628,Refi,1.385215176,1268.8276
IFS,628,Refi,0.978462349,815.8066667
Wheels,628,Purchase,0.468087056,576.74
Credit Karma,628,Refi,1.243994444,1299.340952
Credit Karma,628,Refi,1.347509554,1268.8276
Credit Karma,628,Refi,1.320390769,1268.8276
Credit Karma,629,Refi,1.409214742,1268.8276
Credit Karma,629,Refi,1.166320422,1265.74
Credit Karma,629,Refi,1.460641551,1533.145455
Credit Karma,629,Refi,0.992277095,815.8066667
IFS,629,Refi,1.286947088,1299.340952
Chrysler Capital Lease,629,Purchase,1.13002517,1794.74125
IFS,629,Refi,0.94816872,815.8066667
NerdWallet,629,Refi,1.070717875,1095.785556
Credit Karma,630,Refi,1.360601936,1268.8276
Credit Karma,630,Refi,1.100962014,1095.785556
Credit Karma,630,Refi,1.281345055,1299.340952
IFS - Customer Service,630,Refi,1.342610338,1268.8276
AVIS,630,Purchase,1.338123128,2412.316
Emkay,630,Purchase,0.72635443,890.02
IFS,630,Purchase,1.01470989,1477.871429
Credit Karma,630,Refi,1.36606416,1268.8276
Element,630,Purchase,1.104525714,1477.871429
Credit Karma,630,Refi,1.212716574,1299.340952
Credit Karma,630,Refi,1.446481625,1533.145455
Chrysler Capital Lease,631,Purchase,0.95798842,854.417
Credit Karma,631,Refi,1.189946599,1232.902105
Credit Karma,631,Refi,1.205865586,1232.902105
Credit Karma,631,Refi,1.47,1181.214286
Credit Karma,631,Refi,1.122163265,1232.902105
Credit Karma,631,Refi,1.394250407,1167.632222
Credit Karma,631,Refi,1.34709071,1167.632222
Credit Karma,631,Refi,1.055642705,929.11
Credit Karma,631,Refi,1.371375636,1167.632222
Credit Karma,631,Refi,1.409180786,1167.632222
Credit Karma,631,Refi,1.145896216,1232.902105
Fiserv GM Lease ,631,Purchase,1.150145534,2358.24
Credit Karma,631,Refi,1.364929524,1167.632222
Credit Karma,632,Refi,1.251532919,1366.49
IFS,632,Refi,0.911243388,1264.168
IFS,632,Refi,1.293632778,1366.49
Credit Karma,632,Refi,1.178758177,1232.902105
Credit Karma,632,Refi,1.177580685,1232.902105
Credit Karma,632,Refi,1.369739552,1167.632222
Chrysler Capital Lease,632,Purchase,1.050269366,1071.175455
Credit Karma,632,Refi,1.094624521,929.11
Credit Karma,632,Refi,1.179653846,1232.902105
Credit Karma,632,Refi,1.162735547,1232.902105
Donlen,632,Purchase,0.553705964,1313.315
IFS,632,Refi,0.881004665,1466.37
AVIS,632,Purchase,1.207114591,2358.24
Enterprise Fleet Management,632,Purchase,0.513100346,1313.315
Credit Karma,632,Refi,1.437680834,1181.214286
AVIS,633,Purchase,1.047311765,1071.175455
Chrysler Capital Lease,633,Purchase,1.220688383,1933.145714
AVIS,633,Purchase,0.458072,608.33
IFS - Customer Service,633,Refi,1.179995859,1232.902105
Chrysler Capital Lease,633,Purchase,1.335841742,2050.8775
Credit Karma,633,Refi,1.305646329,1366.49
HCA - Hyundai Kia,633,Purchase,1.300209424,1933.145714
Credit Karma,633,Refi,0.902808108,1466.37
Natural Intelligence - Top 10 ,633,Refi,1.263918575,1366.49
AVIS,633,Purchase,1.079888158,1071.175455
IFS,633,Purchase,0.796858504,1528.09
NerdWallet,633,Refi,1.1903488,1232.902105
Credit Karma,634,Refi,1.311832391,1167.632222
Credit Karma,634,Refi,1.392389071,1167.632222
Wheels,634,Purchase,1.202605634,2358.24
IFS,634,Purchase,1.398937652,2050.8775
Chrysler Capital Lease,634,Purchase,1.275162617,1933.145714
Credit Karma,634,Refi,1.263703529,1366.49
Enterprise Fleet Management,634,Purchase,1.153853763,2358.24
Credit Karma,634,Refi,1.140135117,1232.902105
Credit Karma,634,Refi,1.466547416,1181.214286
IFS,635,Refi,0.975541935,1264.168
IFS Employee Referral Refi,635,Refi,0.986315912,1264.168
Credit Karma,635,Refi,1.310430851,1167.632222
IFS,635,Refi,1.16636861,1232.902105
Donlen,635,Purchase,1.101985185,1071.175455
Credit Karma,635,Refi,0.962668174,1264.168
Chrysler Capital Lease,635,Purchase,1.133894884,2358.24
Credit Karma,635,Refi,1.271301558,1366.49
Natural Intelligence - Top 10 ,635,Refi,1.302918455,1366.49
MyAutoLoan Lease,635,Purchase,1.044843584,1071.175455
Chrysler Capital Lease,635,Purchase,0.977897854,854.417
NerdWallet,635,Refi,1.333400849,1167.632222
Fiserv GM Lease ,635,Purchase,1.008833818,854.417
Credit Karma,635,Refi,1.164835714,1232.902105
NerdWallet,635,Refi,1.060689408,929.11
Credit Karma,636,Refi,1.40886431,1167.632222
Credit Karma,636,Refi,1.333213216,1167.632222
LeasePlan,636,Purchase,1.050749171,1071.175455
Wheels,636,Purchase,0.913361111,854.417
Credit Karma,636,Refi,0.960629014,1264.168
Wheels,636,Purchase,1.102961983,1071.175455
Chrysler Capital Lease,636,Purchase,1.198616316,2358.24
Credit Karma,637,Refi,1.457482813,1181.214286
Credit Karma,637,Refi,1.455541562,1181.214286
AVIS,637,Purchase,0.972050704,854.417
Credit Karma,637,Refi,1.179223824,1232.902105
Credit Karma,637,Refi,1.114595804,1232.902105
Enterprise Fleet Management,637,Purchase,0.745507347,1528.09
HCA - Hyundai Kia,637,Purchase,1.077985507,1071.175455
Donlen,637,Purchase,1.131683284,2358.24
Credit Karma,637,Refi,1.151699659,1232.902105
Credit Karma,638,Refi,1.270959742,1366.49
Wheels,638,Purchase,1.197509877,2358.24
AVIS,638,Purchase,1.340223714,2050.8775
Credit Karma,638,Refi,1.389878919,1167.632222
Chrysler Capital Lease,638,Purchase,1.062713278,1071.175455
IFS,638,Refi,1.011345455,929.11
Lending Tree Lease,638,Purchase,1.232420339,1933.145714
Chrysler Capital Lease,638,Purchase,1.388843421,2050.8775
Element,638,Purchase,0.825145622,522.82
Credit Karma,638,Refi,1.112248175,1232.902105
Credit Karma,638,Refi,1.466612317,1181.214286
Element,638,Purchase,0.947355763,854.417
Credit Karma,638,Refi,1.271059919,1366.49
Donlen,639,Purchase,1.034559889,1071.175455
AVIS,639,Purchase,1.260114587,1933.145714
Element,639,Purchase,0.960085246,854.417
Credit Karma,639,Refi,1.039928713,929.11
Credit Karma,639,Refi,0.887586191,1466.37
Credit Karma,639,Refi,1.265155443,1366.49
Credit Karma,639,Refi,1.223634951,1366.49
TrueCar - AVIS,639,Purchase,1.209648413,2358.24
Credit Karma,639,Refi,1.376391011,1167.632222
Element,639,Purchase,0.931022222,854.417
Credit Karma,639,Refi,1.342737815,1167.632222
Credit Karma,639,Refi,1.153322361,1232.902105
IFS Marketing Organic,639,Refi,1.343244055,1167.632222
Credit Karma,639,Refi,1.268163955,1366.49
Chrysler Capital Lease,639,Purchase,1.514889362,2721.84
Wheels,639,Purchase,1.254987368,1933.145714
Credit Karma,639,Refi,1.253564146,1366.49
AVIS,640,Purchase,1.223629425,1933.145714
Credit Karma,640,Refi,1.200731773,1232.902105
LeasePlan,640,Purchase,0.987883735,854.417
AVIS,640,Purchase,1.143497389,2358.24
Credit Karma,640,Refi,1.363678495,1167.632222
HCA - Hyundai Kia,640,Purchase,0.929611533,854.417
Credit Karma,640,Refi,1.334181065,1167.632222
Credit Karma,640,Refi,1.222151515,1366.49
Element,640,Purchase,1.116950538,2358.24
Wheels,640,Purchase,0.803043664,1528.09
Wheels,640,Purchase,1.087956098,1071.175455
Credit Karma,640,Refi,1.423832483,1181.214286
AVIS,640,Purchase,0.734384633,1528.09
Credit Karma,640,Refi,1.574354808,1200.4
Credit Karma,641,Refi,1.430941802,1330.467778
Credit Karma,641,Refi,1.312109136,1346.095625
Enterprise Fleet Management,641,Purchase,1.199503263,1603.016667
Credit Karma,641,Refi,0.960126246,1572.54
Credit Karma,641,Refi,1.574034177,1026.045
NerdWallet,641,Refi,1.178207715,1352.081538
NerdWallet,641,Refi,1.263426367,1431.726667
Fiserv GM Lease ,641,Purchase,1.394523383,1294.93
AVIS,641,Purchase,1.105268,1547.185
Element,642,Purchase,1.210229692,1404.891429
TrueCar - AVIS,642,Purchase,1.02234676,1547.185
Element,642,Purchase,0.823769697,606.8725
AVIS,642,Purchase,1.19337732,1603.016667
NerdWallet,642,Refi,1.220406962,1431.726667
NerdWallet,642,Purchase,1.242051661,1404.891429
Element,642,Purchase,1.097833656,1547.185
Credit Karma,642,Refi,0.823705644,986.76
IFS,642,Refi,1.247409982,1431.726667
Credit Karma,642,Refi,1.317117904,1346.095625
Credit Karma,642,Refi,1.044880072,1145.167143
Credit Karma,642,Refi,1.09376,1145.167143
Credit Karma,642,Refi,0.992781612,1572.54
HCA - Hyundai Kia,642,Purchase,1.324456129,1294.93
Credit Karma,642,Refi,1.314459858,1346.095625
Credit Karma,643,Refi,0.959445017,1572.54
Fiserv GM Lease ,643,Purchase,1.300323769,1404.891429
Credit Karma,643,Refi,1.234598564,1431.726667
Credit Karma,643,Refi,1.259835583,1431.726667
HCA - Hyundai Kia,643,Purchase,1.291897119,1404.891429
Credit Karma,643,Refi,1.516193878,1026.045
Lending Tree Lease,643,Purchase,1.338612579,1294.93
Credit Karma,643,Refi,1.325997778,1346.095625
Enterprise Fleet Management,643,Purchase,1.103976132,1547.185
Credit Karma,643,Refi,1.488088643,1330.467778
Credit Karma,643,Refi,1.374849817,1346.095625
Credit Karma,644,Refi,1.327909091,1346.095625
CarGurus - Avis,644,Purchase,1.044300626,1547.185
Credit Karma,644,Refi,1.292839189,1431.726667
Donlen,644,Purchase,0.983947612,1204.57625
Credit Karma,644,Refi,1.464376355,1330.467778
Credit Karma,644,Refi,0.869627119,986.76
Credit Karma,644,Refi,1.397445833,1346.095625
Credit Karma,644,Refi,1.316149268,1346.095625
Credit Karma,644,Refi,1.11707907,1352.081538
IFS Marketing Organic Lease,644,Purchase,1.090598639,1547.185
Chrysler Capital Lease,644,Purchase,1.141337218,1603.016667
Wheels,644,Purchase,1.004588889,1204.57625
Credit Karma,644,Refi,1.335996226,1346.095625
Credit Karma,644,Refi,1.171834776,1352.081538
Credit Karma,644,Refi,1.240402609,1431.726667
Credit Karma,644,Refi,1.271254444,1431.726667
Credit Karma,644,Refi,0.976267073,1572.54
Credit Karma,644,Refi,1.430714451,1330.467778
Emkay,644,Purchase,1.196008677,1603.016667
Credit Karma,644,Refi,1.290438839,1431.726667
Credit Karma,645,Refi,0.85565,986.76
Credit Karma,645,Refi,1.355772792,1346.095625
Credit Karma,645,Refi,1.350810127,1346.095625
Credit Karma,645,Refi,1.387443796,1346.095625
Credit Karma,645,Refi,1.104053152,1145.167143
Flexco,645,Purchase,1.015362832,1547.185
Element,645,Purchase,0.877481081,606.8725
Credit Karma,645,Refi,1.164921379,1352.081538
NerdWallet,645,Refi,1.252865107,1431.726667
Chrysler Capital Lease,645,Purchase,1.140028478,1603.016667
Chrysler Capital Lease,645,Purchase,1.019139373,1547.185
Credit Karma,645,Refi,1.34396501,1346.095625
Credit Karma,645,Refi,1.495221087,1330.467778
CarGurus - Avis,646,Purchase,0.825403297,606.8725
Element,646,Purchase,0.911636443,1204.57625
Credit Karma,646,Refi,1.277386283,1431.726667
IFS,646,Purchase,1.114769796,1603.016667
Credit Karma,646,Refi,1.446764706,1330.467778
Credit Karma,646,Refi,1.145958643,1352.081538
Credit Karma,646,Refi,1.304816856,1431.726667
Lending Tree Refi,646,Refi,0.967522677,1572.54
Credit Karma,647,Refi,1.267713981,1431.726667
Credit Karma,647,Refi,1.169465015,1352.081538
Credit Karma,647,Refi,1.15099008,1352.081538
Credit Karma,647,Refi,1.128231845,1352.081538
TrueCar - AVIS,647,Purchase,0.929659929,1204.57625
Credit Karma,647,Refi,1.146314591,1352.081538
IFS,647,Refi,0.997195883,1572.54
IFS,647,Refi,1.321185325,1346.095625
Credit Karma,647,Refi,1.247370811,1431.726667
Credit Karma,647,Refi,1.423565579,1330.467778
Credit Karma,647,Refi,1.083549645,1145.167143
Credit Karma,648,Refi,1.041378523,1145.167143
Credit Karma,648,Refi,1.387268347,1346.095625
HCA - Hyundai Kia,648,Purchase,1.237032012,1404.891429
Lending Tree Lease,648,Purchase,1.107783529,1547.185
Credit Karma,648,Refi,1.252140426,1431.726667
Credit Karma,648,Refi,1.032837377,1145.167143
Credit Karma,648,Refi,0.975019585,1572.54
Credit Karma,648,Refi,1.246893869,1431.726667
Credit Karma,648,Refi,1.172265625,1352.081538
Credit Karma,649,Refi,1.37374128,1346.095625
Chrysler Capital Lease,649,Purchase,0.920230753,1204.57625
IFS,649,Refi,1.282246038,1431.726667
Donlen,649,Purchase,0.991611111,1204.57625
Credit Karma,649,Refi,0.976795105,1572.54
Credit Karma,649,Refi,1.174346816,1352.081538
Credit Karma,649,Refi,1.110841379,1352.081538
Credit Karma,649,Refi,1.24094897,1431.726667
HCA - Hyundai Kia,649,Purchase,0.944464516,1204.57625
Credit Karma,649,Refi,1.256363719,1431.726667
Credit Karma,649,Refi,1.4591179,1330.467778
Element,649,Purchase,0.810143541,606.8725
Credit Karma,649,Refi,1.453407557,1330.467778
Credit Karma,650,Refi,1.080749354,1145.167143
Credit Karma,650,Refi,1.241501404,1431.726667
Wheels,650,Purchase,0.719875339,1265.42
Enterprise Fleet Management,650,Purchase,0.961299688,1204.57625
MyAutoLoan Lease,650,Purchase,1.437395506,899
Enterprise Fleet Management,650,Purchase,0.408935455,1150.91
Wheels,650,Purchase,1.211721663,1404.891429
Element,650,Purchase,1.053176768,1547.185
Credit Karma,650,Refi,1.268616306,1431.726667
Fiserv GM Lease ,650,Purchase,1.246865814,1404.891429
IFS,650,Refi,1.188003288,1352.081538
Credit Karma,651,Refi,1.267336111,1310.436667
HCA - Hyundai Kia,651,Purchase,1.298777324,1552.718
Element,651,Purchase,1.50109145,1489.253333
Credit Karma,651,Refi,1.167136673,1132.121818
Credit Karma,651,Refi,1.258518443,1310.436667
Credit Karma,651,Refi,1.365528878,1317.904667
Credit Karma,651,Refi,1.226099802,1310.436667
Chrysler Capital Lease,651,Purchase,1.115006316,1978.716
Fiserv GM Lease ,651,Purchase,1.396977778,1312.035
Wheels,651,Purchase,0.978056125,1166.282
Element,651,Purchase,1.009462069,1166.282
IFS,651,Refi,0.594752275,732.05
Credit Karma,651,Refi,1.340274956,1317.904667
Lending Tree Lease,651,Purchase,1.41100813,1489.253333
Credit Karma,651,Refi,1.278711026,1310.436667
Credit Karma,651,Refi,0.757167454,1752.54
Credit Karma,652,Refi,1.363228096,1317.904667
IFS,652,Refi,1.354064748,1317.904667
Credit Karma,652,Refi,0.930396296,1316.4725
Credit Karma,652,Refi,1.231282574,1310.436667
Credit Karma,652,Refi,1.412819527,1061.8875
Credit Karma,652,Refi,1.339827129,1317.904667
Credit Karma,652,Refi,1.183625907,1132.121818
Wheels,652,Purchase,1.075013793,132.7225
IFS,652,Refi,1.073516632,1667.695
Credit Karma,652,Refi,1.111431967,1132.121818
NerdWallet,652,Refi,1.411500599,1061.8875
Credit Karma,652,Refi,1.278443129,1310.436667
Credit Karma,653,Refi,1.434830508,1061.8875
Chrysler Capital Lease,653,Purchase,1.11520338,1978.716
Element,653,Purchase,1.221802935,1552.718
NerdWallet,653,Refi,1.479241837,1061.8875
Chrysler Capital Lease,653,Purchase,1.188608026,1978.716
HCA - Hyundai Kia,653,Purchase,1.267512253,1552.718
Credit Karma,653,Refi,1.169884823,1132.121818
NerdWallet,653,Refi,1.429584466,1061.8875
Credit Karma,654,Refi,1.277289788,1310.436667
AVIS,654,Purchase,1.173071945,1978.716
Chrysler Capital Lease,654,Purchase,0.855704658,1057.31
Credit Karma,654,Refi,1.449902273,1061.8875
Credit Karma,654,Refi,1.372087648,1317.904667
Credit Karma,654,Refi,0.874737235,856.03
IFS,654,Refi,0.971327027,1316.4725
Chrysler Capital Lease,654,Purchase,0.989814137,1166.282
NerdWallet,654,Refi,0.927505536,1316.4725
MyAutoLoan Lease,654,Purchase,1.186719835,1978.716
Credit Karma,654,Refi,1.12393713,1132.121818
NerdWallet,654,Refi,1.214824595,1310.436667
Element,654,Purchase,1.026013926,132.7225
Element,654,Purchase,0.854103004,1057.31
Credit Karma,655,Refi,1.347376552,1317.904667
Credit Karma,655,Refi,1.533147253,1216.91
Element,655,Purchase,1.035411659,132.7225
Emkay,655,Purchase,1.084269975,132.7225
Wheels,655,Purchase,0.953809808,1166.282
Credit Karma,655,Refi,0.960530363,1316.4725
Credit Karma,655,Refi,1.232968,1310.436667
Fiserv GM Lease ,655,Purchase,1.165930243,1978.716
IFS,655,Refi,1.458259843,1061.8875
IFS Marketing Organic,655,Refi,1.218467606,1310.436667
Credit Karma,655,Refi,0.971776332,1316.4725
Credit Karma,655,Refi,1.337641189,1317.904667
Credit Karma,656,Refi,0.959984113,1316.4725
Credit Karma,656,Refi,1.342024707,1317.904667
Wheels,656,Purchase,1.027995628,132.7225
Credit Karma,656,Refi,1.336256881,1317.904667
Chrysler Capital Lease,656,Purchase,1.102619565,132.7225
IFS,656,Refi,1.794221965,2384.6
Chrysler Capital Lease,656,Purchase,1.166711276,1978.716
Credit Karma,656,Refi,1.192361905,1132.121818
Credit Karma,656,Refi,1.304146901,1310.436667
IFS,656,Refi,1.265447385,1310.436667
Credit Karma,656,Refi,1.194149495,1132.121818
IFS,656,Refi,1.322372107,1317.904667
Credit Karma,657,Refi,0.864891014,856.03
Credit Karma,657,Refi,0.960233473,1316.4725
MyAutoLoan Lease,657,Purchase,1.26976368,1552.718
Flexco,657,Purchase,1.16283187,1978.716
Credit Karma,657,Refi,1.395654,1317.904667
AVIS,657,Purchase,0.802387962,1622.57
Credit Karma,657,Refi,1.183960578,1132.121818
Credit Karma,657,Refi,1.289720291,1310.436667
Credit Karma,657,Refi,1.114927979,1132.121818
HCA - Hyundai Kia,658,Purchase,1.073102258,132.7225
Credit Karma,658,Refi,1.099454472,1667.695
HCA - Hyundai Kia,658,Purchase,1.178929231,1978.716
IFS,658,Refi,1.425292698,1061.8875
Donlen,658,Purchase,0.908959436,1057.31
Credit Karma,658,Refi,0.848556115,856.03
Credit Karma,658,Refi,1.449921507,1061.8875
Chrysler Capital Lease,658,Purchase,1.246726298,1552.718
Credit Karma,658,Refi,1.475014444,1061.8875
Credit Karma,658,Refi,1.100784601,1667.695
Credit Karma,658,Refi,1.287029808,1310.436667
Credit Karma,659,Refi,1.20950269,1132.121818
LeasePlan,659,Purchase,0.990922543,1166.282
IFS - Customer Service,659,Refi,1.405365536,1317.904667
Credit Karma,659,Refi,1.315385567,1317.904667
Credit Karma,659,Refi,1.345134537,1317.904667
Credit Karma,659,Refi,1.264061899,1310.436667
Credit Karma,660,Refi,0.916316456,1316.4725
LeasePlan,660,Purchase,0.737834211,1622.57
Credit Karma,660,Refi,1.165316388,1132.121818
Credit Karma,660,Refi,1.481398142,1061.8875
Wheels,660,Purchase,0.758789091,1622.57
HCA - Hyundai Kia,660,Purchase,1.06432019,132.7225
Credit Karma,660,Refi,1.442226972,1061.8875
Chrysler Capital Lease,660,Purchase,1.502379097,1489.253333
IFS,660,Purchase,1.312388501,1312.035
Emkay,660,Purchase,1.188903226,1978.716
NerdWallet,660,Refi,1.013723425,1667.695
Credit Karma,661,Refi,1.143014041,1321.031667
Wheels,661,Purchase,1.311783251,1659.158
Element,661,Purchase,0.939607143,792.19375
Natural Intelligence - Top 10 ,661,Refi,0.921196241,783.2633333
Chrysler Capital Lease,661,Purchase,1.167451641,2038.761667
Credit Karma,661,Refi,0.783623757,2211.87
Credit Karma,661,Refi,1.241679913,1289.914286
IFS,662,Refi,1.364448433,1348.755
Donlen,662,Purchase,1.049123457,1876.784444
Credit Karma,662,Refi,0.831334054,1043.676667
Credit Karma,662,Refi,1.82572,481.57
Chrysler Capital Lease,662,Purchase,1.108870426,1876.784444
Credit Karma,662,Refi,1.261594719,1289.914286
HCA - Hyundai Kia,662,Purchase,1.368212821,1659.158
Element,662,Purchase,1.033047742,1876.784444
Wheels,662,Purchase,0.513210112,594.78
IFS,662,Refi,1.374203796,1348.755
AVIS,662,Purchase,1.249680297,2654.4125
NerdWallet,662,Refi,1.584762212,1286.16
AVIS,662,Purchase,0.476888889,2463.72
Credit Karma,662,Refi,1.176049187,1321.031667
TrueCar - AVIS,662,Purchase,1.120869735,2038.761667
Credit Karma,663,Refi,1.354880964,1348.755
Credit Karma,663,Refi,0.829055452,1043.676667
Credit Karma,663,Refi,1.308903896,1289.914286
MyAutoLoan Lease,663,Purchase,1.417558887,1366.165
Chrysler Capital Lease,663,Purchase,1.077703967,1876.784444
Element,663,Purchase,1.073760504,1876.784444
IFS,663,Refi,1.038616718,1161.15375
HCA - Hyundai Kia,663,Purchase,1.310004959,1659.158
Credit Karma,663,Refi,1.47293578,1492.738571
