Partner,Credit Score,Finance Type,LTV,Average Gross Revenue Binding
Fiserv GM Lease ,572,Purchase,1.380406847,2353.64
Chrysler Capital Lease,572,Purchase,1.302585545,2198.2575
Chrysler Capital Lease,572,Purchase,1.387903245,2353.64
Credit Karma,572,Refi,1.554958382,1132
Credit Karma,572,Refi,1.431311009,1233.015
Chrysler Capital Lease,573,Purchase,1.305286364,2198.2575
Emkay,573,Purchase,1.274478702,2198.2575
MyAutoLoan Lease,573,Purchase,1.215612739,2198.2575
NerdWallet,573,Refi,0.771207163,759.27
CarGurus - Avis,573,Purchase,1.302236907,2198.2575
IFS,574,Refi,1.262500444,1107.154286
Credit Karma,574,Refi,1.09650542,1161.985556
Credit Karma,574,Refi,1.236750077,1107.154286
Credit Karma,574,Refi,1.386575258,1194.553333
Credit Karma,574,Refi,1.100478133,1161.985556
AVIS,574,Purchase,0.85880221,1167.585
Credit Karma,574,Refi,1.289853659,1107.154286
Element,574,Purchase,0.868019441,1167.585
Chrysler Capital Lease,574,Purchase,1.249440409,2198.2575
Chrysler Capital Lease,574,Purchase,1.396018559,2353.64
HCA - Hyundai Kia,574,Purchase,1.320177892,2353.64
Credit Karma,574,Refi,1.346671375,1194.553333
Emkay,574,Purchase,0.847797914,1167.585
NerdWallet,574,Refi,0.955007673,1431.243333
IFS,575,Refi,1.147202069,1100.51
IFS,575,Refi,1.311446269,1194.553333
Credit Karma,575,Refi,1.376199222,1194.553333
Natural Intelligence - Top 10 ,575,Refi,1.259162215,1107.154286
Credit Karma,575,Refi,1.014394475,1161.985556
Element,575,Purchase,0.772983452,544.32
Credit Karma,575,Refi,1.143162434,1100.51
Credit Karma,575,Refi,1.096701269,1161.985556
AVIS,575,Purchase,1.087190783,1753.13
HCA - Hyundai Kia,575,Purchase,1.439038821,2629.45
HCA - Hyundai Kia,576,Purchase,1.213441706,2198.2575
TrueCar - AVIS,576,Purchase,1.13088812,2464.95
Credit Karma,576,Refi,1.141000268,1100.51
Wheels,576,Purchase,1.17772198,2464.95
Credit Karma,576,Refi,1.090287073,1161.985556
Credit Karma,576,Refi,1.175021389,1100.51
Credit Karma,576,Refi,1.347766429,1194.553333
Credit Karma,577,Refi,1.173775642,1100.51
HCA - Hyundai Kia,577,Purchase,1.636411796,2032
IFS,577,Refi,1.072291239,1161.985556
Mike Albert,577,Purchase,0.99488254,1136
Credit Karma,578,Refi,1.175395166,1100.51
Credit Karma,578,Refi,1.27325,1107.154286
Credit Karma,578,Refi,1.37834,1194.553333
Credit Karma,578,Refi,1.047965478,1161.985556
Credit Karma,578,Refi,1.252022935,1107.154286
Credit Karma,579,Refi,1.084636559,1161.985556
MyAutoLoan Lease,579,Purchase,1.277464307,2198.2575
Credit Karma,580,Refi,1.243113215,1107.154286
Credit Karma,580,Refi,1.312772121,1194.553333
Natural Intelligence - Top 10 ,580,Refi,0.927364333,1431.243333
Element,580,Purchase,0.863652679,1167.585
Chrysler Capital Lease,580,Purchase,1.381565189,2353.64
Credit Karma,580,Refi,0.840299013,1364.195
Natural Intelligence - Top 10 ,580,Refi,1.441568254,1233.015
Credit Karma,580,Refi,1.158025121,1100.51
Credit Karma,580,Refi,1.106368259,1161.985556
NerdWallet,581,Refi,1.363834586,1192.583333
Credit Karma,581,Refi,1.2107696,1180.051429
Credit Karma,581,Refi,1.192214397,1313.305
NerdWallet,582,Refi,1.321514644,1192.583333
HCA - Hyundai Kia,582,Purchase,1.385863014,1269.5025
Credit Karma,582,Refi,1.14643905,1313.305
Credit Karma,582,Refi,1.253086127,1180.051429
Credit Karma,582,Refi,0.77621012,827.35
Element,582,Purchase,0.96606424,1091.413333
Fiserv GM Lease ,582,Purchase,1.268573521,1664.54
Credit Karma,582,Refi,1.112866019,1313.305
Chrysler Capital Lease,582,Purchase,1.449830108,1649.785
IFS,582,Refi,1.444880243,1086.015
Credit Karma,582,Refi,1.318809617,1192.583333
Chrysler Capital Lease,582,Purchase,1.270207385,1664.54
Credit Karma,583,Refi,1.130313669,1313.305
Credit Karma,583,Refi,1.079533333,1062.918182
Credit Karma,584,Refi,1.117497483,1313.305
HCA - Hyundai Kia,584,Purchase,1.168838679,1838.342857
Credit Karma,584,Refi,1.020430859,1062.918182
Element,584,Purchase,1.021555676,1417.034286
Enterprise Fleet Management,584,Purchase,0.931010661,1091.413333
Natural Intelligence - Top 10 ,584,Refi,1.170565934,1313.305
Chrysler Capital Lease,584,Purchase,1.44435196,1649.785
Element,585,Purchase,1.0434648,1417.034286
Fiserv GM Lease ,585,Purchase,1.463278412,1649.785
AVIS,585,Purchase,1.030995798,1417.034286
IFS,585,Refi,1.105829098,1062.918182
Credit Karma,585,Refi,0.960399569,1233
HCA - Hyundai Kia,585,Purchase,1.386077213,1269.5025
AVIS,585,Purchase,1.03903445,1417.034286
HCA - Hyundai Kia,585,Purchase,1.117962475,1838.342857
Credit Karma,585,Refi,1.338388796,1192.583333
HCA - Hyundai Kia,585,Purchase,1.169332515,1838.342857
Credit Karma,585,Refi,1.135014634,1313.305
Credit Karma,586,Refi,1.416352201,1086.015
Credit Karma,586,Refi,1.396348837,1192.583333
Credit Karma,586,Refi,1.159115942,1313.305
IFS,586,Purchase,1.127661789,1838.342857
IFS - Customer Service,586,Refi,1.429021522,1086.015
Credit Karma,586,Refi,1.434718019,1086.015
Credit Karma,586,Refi,1.419239452,1086.015
Chrysler Capital Lease,586,Purchase,1.380730935,1269.5025
Chrysler Capital Lease,586,Purchase,1.207030769,1838.342857
Lending Tree Lease,586,Purchase,0.741765294,1361.39
Credit Karma,586,Refi,0.88222566,825.03
Credit Karma,587,Refi,1.236902734,1180.051429
Credit Karma,587,Refi,1.226203704,1180.051429
Credit Karma,587,Refi,1.2763518,1180.051429
Wheels,587,Purchase,0.686602985,416.25
Credit Karma,587,Refi,1.017328662,1062.918182
Credit Karma,587,Refi,1.28508,1180.051429
IFS Marketing Organic,587,Refi,1.072286095,1062.918182
Wheels,587,Purchase,1.107363522,1417.034286
Credit Karma,587,Refi,1.157609974,1313.305
Donlen,587,Purchase,0.921853799,1091.413333
Credit Karma,588,Refi,1.075506271,1062.918182
Credit Karma,588,Refi,1.11403631,1313.305
Credit Karma,588,Refi,1.507277117,1086.015
Credit Karma,588,Refi,1.161948495,1313.305
Enterprise Fleet Management,588,Purchase,1.155345343,1838.342857
Credit Karma,589,Refi,1.093554554,1062.918182
Element,589,Purchase,1.444184783,1649.785
Credit Karma,589,Refi,1.085620873,1062.918182
Credit Karma,589,Refi,1.295774336,1180.051429
Wheels,589,Purchase,1.01339823,1417.034286
Credit Karma,589,Refi,1.027672,1062.918182
Lending Tree Lease,589,Purchase,1.310077207,1269.5025
Credit Karma,589,Refi,1.353186854,1192.583333
Credit Karma,590,Refi,1.156636995,1313.305
Credit Karma,590,Refi,1.16131866,1313.305
Natural Intelligence - Top 10 ,590,Refi,1.021510838,1062.918182
Chrysler Capital Lease,590,Purchase,1.243367758,1664.54
AVIS,590,Purchase,1.173252685,1838.342857
Chrysler Capital Lease,590,Purchase,1.044094675,1417.034286
Natural Intelligence - Top 10 ,590,Refi,1.071916714,1062.918182
Credit Karma,590,Refi,1.16779972,1313.305
Credit Karma,591,Refi,1.263157528,1325.221739
HCA - Hyundai Kia,591,Purchase,1.448555781,1369.13
Credit Karma,591,Refi,1.403927508,1221.1915
Credit Karma,591,Refi,1.406989247,1221.1915
Credit Karma,591,Refi,1.3539075,1221.1915
HCA - Hyundai Kia,591,Purchase,1.54962406,2134.6
Credit Karma,592,Refi,1.238522813,1325.221739
Credit Karma,592,Refi,1.289346256,1325.221739
Credit Karma,592,Refi,1.403895208,1221.1915
HCA - Hyundai Kia,592,Purchase,1.068459631,1001.716
Credit Karma,592,Refi,1.394257692,1221.1915
Credit Karma,592,Refi,1.309255008,1325.221739
Credit Karma,593,Refi,1.168875251,1012.029167
Credit Karma,593,Refi,1.134358373,1012.029167
Credit Karma,593,Refi,1.247601902,1325.221739
Credit Karma,593,Refi,1.202748936,1012.029167
Credit Karma,593,Refi,1.41812682,1292.335
NerdWallet,593,Purchase,1.244607186,2488.945
Credit Karma,593,Refi,1.270411268,1325.221739
Credit Karma,593,Refi,1.241625806,1325.221739
Credit Karma,593,Refi,0.61665467,1302.77
IFS Marketing Organic Lease,593,Purchase,1.340125964,2181.08
NerdWallet,593,Refi,1.21811129,1325.221739
Chrysler Capital Lease,593,Purchase,0.996085607,1654.738571
Fiserv GM Lease ,593,Purchase,1.330442446,2181.08
Credit Karma,593,Refi,1.348540511,1221.1915
Credit Karma,593,Refi,1.433189711,1292.335
IFS,593,Refi,1.241923015,1325.221739
Credit Karma,594,Refi,1.066587368,1134.7
Credit Karma,594,Refi,1.338067941,1221.1915
Credit Karma,594,Refi,1.35,1221.1915
Chrysler Capital Lease,594,Purchase,1.027938562,1001.716
Credit Karma,594,Refi,1.273728086,1325.221739
Credit Karma,594,Refi,1.216640888,1325.221739
Credit Karma,594,Refi,1.183598972,1012.029167
Credit Karma,594,Refi,1.360092605,1221.1915
Credit Karma,594,Refi,1.249975705,1325.221739
NerdWallet,594,Refi,1.340763775,1221.1915
IFS,594,Refi,1.399823625,1221.1915
Emkay,594,Purchase,0.903127072,1198.215
Credit Karma,594,Refi,1.230777634,1325.221739
HCA - Hyundai Kia,594,Purchase,1.422432215,1369.13
NerdWallet,594,Refi,1.409090248,1221.1915
Credit Karma,595,Refi,1.266887912,1325.221739
Credit Karma,595,Refi,1.397533632,1221.1915
Wheels,595,Purchase,0.523651866,785.2
Wheels,595,Purchase,0.766719011,774.6
HCA - Hyundai Kia,595,Purchase,0.998740645,1654.738571
LeasePlan,595,Purchase,1.131030228,1944.425714
Chrysler Capital Lease,595,Purchase,1.143098104,1944.425714
Natural Intelligence - Top 10 ,595,Refi,1.278463768,1325.221739
Fiserv GM Lease ,595,Purchase,0.863861646,1198.215
